seed,epsilon,delta,m,threshold,cal_coverage,cal_avg_size,test_coverage,test_avg_size,time_solve_threshold,avg_time_per_test
516,0.2,0.001,1,0.6,0.905,150.13,0.89125,108.29125,11047.12070274353,2.308192913234234
516,0.2,0.1,1,0.55,0.865,106.66,0.87125,87.14125,11466.817579984665,2.3221755146980287
516,0.4,0.001,8,0.4,0.72,1.215,0.7575,1.265,13350.382239103317,2.2237993666529654
516,0.4,0.001,4,0.4,0.73,1.24,0.7575,1.2975,13350.570177316666,2.2402890399098396
516,0.4,0.001,2,0.4,0.725,1.47,0.76375,2.2675,13344.226593255997,2.2931918147206307
516,0.4,0.001,1,0.3,0.715,3.61,0.74625,7.89625,14418.990716695786,2.250108068883419
516,0.4,0.01,1,0.25,0.695,1.675,0.72125,2.63125,14888.930835008621,2.2832601848244667
516,0.4,0.01,2,0.25,0.7,1.065,0.735,1.19875,15031.202508449554,2.2170809015631674
516,0.4,0.01,4,0.25,0.7,1.035,0.735,1.0725,15096.279755592346,2.2233461302518847
516,0.4,0.01,8,0.25,0.7,1.035,0.735,1.06625,15066.051769018173,2.292000090777874
516,0.4,0.1,1,0.2,0.655,1.225,0.68625,1.48375,15783.443557739258,2.3409172281622888
516,0.4,0.1,2,0.15,0.66,1.01,0.68125,1.0275,16144.736474752426,2.211311683356762
516,0.4,0.1,8,0.15,0.66,1.01,0.67875,1.0125,16246.973779916763,2.2362573221325874
516,0.4,0.1,4,0.15,0.66,1.01,0.68,1.01875,16198.715199232101,2.274372761249542
2024,0.05,0.1,8,0.95,0.995,21.225,0.96875,19.51875,3822.9153187274933,3.3100108686089516
2024,0.05,0.001,8,0.95,0.995,21.225,0.96875,19.51875,3855.911030292511,3.321582027375698
2024,0.05,0.01,4,0.95,1.0,101.66,0.9675,81.95875,3830.5559871196747,3.3690179121494293
2024,0.05,0.001,4,0.95,1.0,101.66,0.9675,81.95875,3860.1651928424835,3.3489494204521177
2024,0.05,0.001,2,0.95,1.0,202.485,0.98375,237.455,3919.3947038650513,3.42029072701931
2024,0.05,0.001,1,0.9,0.995,327.43,0.98125,339.76,4385.178771734238,3.00661709189415
2024,0.05,0.01,8,0.95,0.995,21.225,0.96875,19.51875,4215.613634586334,3.358526318967342
2024,0.05,0.01,2,0.9,0.985,171.69,0.96625,152.0725,4596.879627943039,3.210998638868332
2024,0.05,0.1,4,0.9,0.98,38.815,0.94125,44.2625,4688.176553726196,3.1571106424927713
2024,0.1,0.001,8,0.9,0.97,9.315,0.94375,9.22875,4773.746626615524,3.1630194187164307
2024,0.05,0.1,2,0.9,0.985,171.69,0.96625,152.0725,4721.715974330902,3.25478237837553
2024,0.1,0.001,4,0.9,0.98,38.815,0.94125,44.2625,4745.649958372116,3.3172307199239732
2024,0.1,0.01,4,0.85,0.96,14.99,0.90875,23.46625,5548.371531009674,3.1129889187216757
2024,0.1,0.01,8,0.85,0.96,5.91,0.91,5.77,5621.062155246735,3.0910901653766634
2024,0.05,0.01,1,0.8,0.985,254.665,0.9525,247.4425,6099.9627430438995,2.7855561465024947
2024,0.1,0.1,4,0.8,0.945,9.3,0.89125,12.875,6215.6441123485565,2.8811357593536377
2024,0.1,0.01,2,0.8,0.97,85.355,0.92875,74.0575,6188.28803062439,3.0310462844371795
2024,0.1,0.001,2,0.8,0.97,85.355,0.92875,74.0575,6353.672247886658,2.9148738619685175
2024,0.1,0.1,2,0.8,0.97,85.355,0.92875,74.0575,6405.755685329437,2.88984594643116
2024,0.1,0.1,8,0.8,0.935,4.16,0.88625,3.96125,6521.203974485397,2.8200679910182953
2024,0.1,0.001,1,0.75,0.975,214.345,0.93625,206.81875,6946.293356895447,2.7086673375964163
2024,0.05,0.1,1,0.75,0.975,214.345,0.93625,206.81875,7018.721254825592,2.7019672274589537
2024,0.1,0.01,1,0.7,0.95,168.265,0.925,176.66875,7608.303709983826,2.510680948197842
