seed,epsilon,delta,m,threshold,cal_coverage,cal_avg_size,test_coverage,test_avg_size,time_solve_threshold,avg_time_per_test
2024,0.1,0.001,4,0.6,0.985,190.225,0.97875,186.88875,8557.310949325562,1.7407651805877686
2024,0.4,0.01,4,0.03,0.685,1.005,0.64625,1.0025,10013.262687444687,0.3761946275830269
2024,0.1,0.1,1,0.6,0.97,384.12,0.96625,393.41625,8788.048369646072,2.0346851003170014
2024,0.1,0.01,1,0.6,0.97,384.12,0.96625,393.41625,8741.799701929092,2.2489113083481787
2024,0.2,0.001,8,0.3,0.91,5.785,0.8825,4.8575,10764.996399879456,0.41678851783275606
2024,0.1,0.01,8,0.45,0.955,37.465,0.95875,36.39,10995.059220075607,0.7700993308424949
2024,0.1,0.001,8,0.5,0.975,67.535,0.97125,65.21625,10884.378778219223,0.9496237993240356
2024,0.4,0.001,8,0.04,0.725,1.005,0.67,1.005,12085.402569532394,0.7176776739954949
2024,0.2,0.001,1,0.35,0.895,74.465,0.86625,81.47625,11584.813593626022,1.5631406763195992
2024,0.1,0.001,1,0.6,0.97,384.12,0.96625,393.41625,8736.52981042862,4.03683100759983
2024,0.05,0.1,2,0.6,0.98,245.055,0.9675,240.035,10874.938368558884,2.6438645008206367
2024,0.2,0.001,4,0.3,0.905,7.58,0.87375,7.13,12408.231425762177,0.7269249165058136
2024,0.2,0.01,4,0.25,0.875,4.05,0.845,3.60625,12828.912467956543,0.586820972263813
2024,0.05,0.1,8,0.5,0.975,67.535,0.97125,65.21625,10847.782706260681,2.4422965964674948
2024,0.4,0.1,8,0.03,0.685,1.005,0.64625,1.0025,13280.962424993515,0.4835153236985207
2024,0.2,0.01,2,0.3,0.88,15.48,0.87375,14.27,12375.603719234467,1.5738978406786919
2024,0.05,0.001,4,0.8,0.995,526.79,0.99875,543.32,9436.877017974854,5.572443942427635
2024,0.05,0.1,4,0.6,0.985,190.225,0.97875,186.88875,11361.52976346016,3.3691058680415154
2024,0.05,0.01,8,0.7,1.0,322.785,0.99875,326.01875,9217.812513589859,5.383284792304039
2024,0.4,0.001,2,0.04,0.725,1.005,0.67,1.005,13953.898376703262,0.5205717092752457
2024,0.05,0.001,8,0.7,1.0,322.785,0.99875,326.01875,9208.872841596603,5.451042514443397
2024,0.05,0.001,2,0.9,0.995,851.495,0.99125,871.46125,6298.530185699463,8.871291356682777
2024,0.1,0.1,8,0.35,0.93,10.31,0.90875,9.7775,12611.779402256012,1.6762697151303292
2024,0.1,0.1,2,0.4,0.935,45.145,0.90125,48.1725,14214.846254348755,0.9862611421942711
2024,0.1,0.1,4,0.4,0.945,25.585,0.92125,25.71125,14154.938118934631,1.195184614956379
2024,0.2,0.01,8,0.25,0.88,3.045,0.84875,2.4925,14000.349262237549,1.28378411591053
2024,0.1,0.01,2,0.6,0.98,245.055,0.9675,240.035,11417.135100841522,4.774365431666374
2024,0.1,0.01,4,0.5,0.96,81.22,0.95875,78.5425,12719.66308927536,3.0845941799879073
2024,0.05,0.01,2,0.7,0.99,394.305,0.98375,405.47,10491.991067886353,6.065992505550384
2024,0.2,0.1,8,0.2,0.855,1.795,0.8175,1.54625,14803.029258012772,1.0280029287934302
2024,0.2,0.1,4,0.2,0.85,2.005,0.82125,1.9225,16006.291157722473,0.3482325929403305
2024,0.1,0.001,2,0.6,0.98,245.055,0.9675,240.035,11508.793070554733,5.106498776674271
2024,0.2,0.01,1,0.35,0.895,74.465,0.86625,81.47625,13524.535399198532,2.8938584783673287
2024,0.2,0.001,2,0.35,0.895,27.73,0.8875,27.355,15064.905218362808,1.3079631918668746
2024,0.4,0.001,4,0.04,0.725,1.005,0.67,1.005,15334.163553237915,0.9838148203492164
2024,0.2,0.1,2,0.2,0.845,4.21,0.81625,3.6425,16227.542662620544,0.6204328322410584
2024,0.2,0.1,1,0.3,0.865,48.165,0.8375,56.89375,14880.571732997894,2.1172080677747727
2024,0.4,0.01,8,0.03,0.685,1.005,0.64625,1.0025,16680.621544361115,0.4414871054887772
2024,0.4,0.1,4,0.03,0.685,1.005,0.64625,1.0025,17298.191508293152,0.32406780779361727
2024,0.4,0.01,2,0.03,0.685,1.005,0.64625,1.0025,17305.6973426342,0.3207823321223259
2024,0.4,0.1,2,0.03,0.685,1.005,0.64625,1.0025,17369.250950336456,0.34571190655231476
2024,0.4,0.1,1,0.03,0.68,1.005,0.64625,1.00375,17366.818764448166,1.735553143620491
2024,0.4,0.01,1,0.04,0.705,1.015,0.66875,1.025,17915.066177606583,3.9336688235402106
